event_id,origin_id,stage,parent_origin_id,time,lat,lon,depth,mag,magnitude_type,rms,gap,n_picks,erh,erz,method
eslv2026wluhakjp,ohdd2026vwnjbpna,hypodd,ohyp2026q6eyvai4,2023-12-31T04:17:24.300000Z,13.838867,-89.773177,5.508,1.623,MLc,0.381,248,6,0.0351,0.0454,
eslv2026glv4wjz4,ohdd2026kvoq6rq2,hypodd,ohyp2026ysfasx2x,2024-01-04T00:14:14.300000Z,13.887957,-89.74991,6.041,1.4097,MLc,0.15,160,8,0.0331,0.0393,
eslv2026v4cr7uty,ohdd20266wfis5xh,hypodd,ohyp2026awibvbs7,2024-01-04T10:42:16.910000Z,13.89346,-89.733081,7.376,0.3962,MLc,0.141,179,6,0.0207,0.0227,
eslv2026p62qtey4,ohdd2026ci5uyzkw,hypodd,ohyp20265jyjvdj6,2024-01-04T15:30:35.240000Z,13.859426,-89.729004,4.117,1.2248,MLc,0.096,187,6,0.0376,0.0414,
eslv20264hw36hoz,ohdd2026qeoqtn5a,hypodd,ohyp2026oj3ktvqd,2024-01-07T15:42:23.820000Z,13.879272,-89.773657,5.395,1.6523,MLc,0.196,219,11,0.0362,0.0216,
eslv2026s7fotu2w,ohdd2026xksmfdig,hypodd,ohyp2026rsz5onrx,2024-01-08T11:31:06.759999Z,13.828653,-89.797705,7.457,1.0094,MLc,0.236,234,8,0.0292,0.0379,
eslv2026svbqxsbx,ohdd2026ej3rdsvv,hypodd,ohyp2026fnek6aqm,2024-01-10T09:20:54.539999Z,13.880096,-89.77203,5.233,1.0391,MLc,0.262,229,10,0.0377,0.0266,
eslv2026gmmldxn2,ohdd20265chmiu5r,hypodd,ohyp2026ulmhvn7u,2024-01-10T09:28:40.340000Z,13.909778,-89.747599,5.167,1.1085,MLc,0.172,234,6,0.0403,0.0291,
eslv2026esfz6tg5,ohdd20262tq4bwdw,hypodd,ohyp20264cos7wtk,2024-01-10T20:18:43.740000Z,13.875282,-89.730485,7.469,1.074,MLc,0.15,154,11,0.0322,0.0222,
eslv2026ciaogvox,ohdd2026d7m5plvj,hypodd,ohyp2026k33e3zby,2024-01-11T07:48:19.039999Z,13.855056,-89.734814,7.103,0.0924,MLc,0.232,211,6,0.0406,0.0472,
eslv2026zalq5dut,ohdd2026ce73urgb,hypodd,ohyp2026jc3ae7rc,2024-01-11T22:52:10.240000Z,13.896973,-89.697461,7.046,1.3986,MLc,0.214,130,11,0.0343,0.0253,
eslv2026refes45c,ohdd2026wzllxu55,hypodd,ohyp2026dpvysmur,2024-01-12T00:21:55.460000Z,13.964333,-89.754541,9.541,0.3151,MLc,0.193,256,6,0.0298,0.0265,
eslv2026jsxtgrc4,ohdd2026njy7cgd4,hypodd,ohyp2026mi4teb5z,2024-01-12T08:06:42.679999Z,14.109312,-89.727897,13.411,1.5387,MLc,0.299,285,14,0.3901,0.6162,
eslv2026bg4ekuza,ohdd2026m37kqvd3,hypodd,ohyp20262mrlnhf6,2024-01-12T10:41:45.009999Z,13.893448,-89.747795,7.172,1.3475,MLc,0.33,208,12,0.0304,0.0394,
eslv20264vsr6q25,ohdd2026bo6fygwb,hypodd,ohyp2026k5njmyzg,2024-01-12T11:14:12.599999Z,13.86257,-89.759017,3.543,1.3669,MLc,0.152,161,8,0.0425,0.0309,
eslv2026nhy5and4,ohdd2026b3wd6xfm,hypodd,ohyp2026bopvrtcp,2024-01-12T12:19:29.280000Z,13.865788,-89.713672,6.53,0.7793,MLc,0.186,159,8,0.0333,0.0207,
eslv2026jppzjhzp,ohdd2026hw35gtmi,hypodd,ohyp202623ioxdlb,2024-01-12T13:23:34.320000Z,13.887581,-89.751229,5.827,1.9735,MLc,0.132,145,11,0.0258,0.0225,
eslv2026mpn2tda7,ohdd20264mhmi2pv,hypodd,ohyp2026c7pttgp5,2024-01-12T13:24:14.269999Z,13.877695,-89.779517,6.218,1.5626,MLc,0.322,200,11,0.0382,0.0313,
eslv2026t4v5izvo,ohdd2026xambazaf,hypodd,ohyp2026oplbribp,2024-01-12T13:27:36.259999Z,13.893352,-89.738249,6.47,1.3605,MLc,0.331,179,9,0.0328,0.0347,
eslv2026yjdydd66,ohdd2026e6qjt2h2,hypodd,ohyp2026hldenh4g,2024-01-12T13:40:16.260000Z,13.88711,-89.750675,5.731,2.389,MLc,0.118,140,16,0.0227,0.0207,
eslv20265xgg6tvh,ohdd2026lnx3qckv,hypodd,ohyp202655szwo3s,2024-01-12T13:41:16.370000Z,13.886898,-89.750651,5.67,2.0337,MLc,0.106,145,11,0.0244,0.0185,
eslv2026nstdtvgy,ohdd20264sqisbxu,hypodd,ohyp2026c6wrf2xu,2024-01-12T13:41:41.240000Z,13.887271,-89.749268,5.702,1.9479,MLc,0.114,144,11,0.0274,0.021,
eslv2026adcdoi7g,ohdd2026pzozovwr,hypodd,ohyp2026pfqbsigq,2024-01-12T13:42:58.299999Z,13.887096,-89.750317,5.507,2.642,MLc,0.115,151,18,0.0239,0.022,
eslv20262azhq2ax,ohdd2026n45ldtme,hypodd,ohyp20264wanp65l,2024-01-12T13:43:39.310000Z,13.886592,-89.748527,5.312,1.6558,MLc,0.131,152,8,0.0312,0.035,
eslv2026idx2pmkr,ohdd2026q54cr43e,hypodd,ohyp2026ndxviggl,2024-01-12T13:44:14.089999Z,13.883766,-89.749528,6.396,1.655,MLc,0.154,164,8,0.0272,0.0322,
eslv2026mxnrk5xd,ohdd2026atim4qkm,hypodd,ohyp2026qjo2a24e,2024-01-12T13:49:09.300000Z,13.887266,-89.746191,4.909,1.4612,MLc,0.183,167,10,0.0215,0.0261,
eslv2026mordfiwb,ohdd20265ylnzkwd,hypodd,ohyp202657lzh52t,2024-01-12T13:50:44.009999Z,13.887019,-89.749731,5.501,1.9255,MLc,0.13,164,7,0.0224,0.025,
eslv2026kozkouxh,ohdd2026veop7ent,hypodd,ohyp2026hc7jyud3,2024-01-12T13:50:57.070000Z,13.887391,-89.74991,6.079,1.8204,MLc,0.123,141,9,0.0257,0.0225,
eslv2026exfbmlqe,ohdd202646mj2hjt,hypodd,ohyp2026q53kayqn,2024-01-12T13:53:08.230000Z,13.887724,-89.749609,5.516,2.2823,MLc,0.116,140,14,0.0223,0.0207,
eslv20263qcgwvpg,ohdd20263nl6uzra,hypodd,ohyp2026nwurj4rd,2024-01-12T13:53:36.189999Z,13.875721,-89.741317,6.074,1.6111,MLc,0.192,174,6,0.0369,0.0285,
eslv2026shajb5il,ohdd20267ekmv6en,hypodd,ohyp2026u77iifn4,2024-01-12T13:54:20.129999Z,13.887446,-89.748641,5.662,1.9797,MLc,0.121,142,15,0.0241,0.0207,
eslv2026aakcbp6h,ohdd2026seokmahk,hypodd,ohyp2026ttwol6ff,2024-01-12T13:59:13.339999Z,13.886408,-89.748014,5.447,1.5432,MLc,0.29,152,12,0.0311,0.03,
eslv2026liopvm3s,ohdd2026yg3xmfkd,hypodd,ohyp20265ttonph2,2024-01-12T14:32:10.460000Z,13.888273,-89.746948,5.838,1.7088,MLc,0.121,103,13,0.0264,0.0232,
eslv2026u33mwprz,ohdd2026zu2rkzs2,hypodd,ohyp2026u2jljlxo,2024-01-12T14:50:40.859999Z,13.862323,-89.75883,3.283,1.4204,MLc,0.148,161,8,0.0428,0.0316,
eslv2026pqyymd72,ohdd2026nueboqjd,hypodd,ohyp2026schuyaic,2024-01-12T15:30:48.820000Z,13.885951,-89.747786,7.712,1.7329,MLc,0.373,169,12,0.0336,0.038,
eslv20264u5wfeuc,ohdd20266epxekuc,hypodd,ohyp2026kdgpzmsn,2024-01-12T15:33:34.130000Z,13.947406,-89.720508,0.032,1.4008,MLc,0.277,173,7,0.6243,1.1962,
eslv2026j5qb3kb6,ohdd2026rmqbhys7,hypodd,ohyp2026huspejug,2024-01-14T02:01:18.640000Z,13.912689,-89.727083,5.791,1.677,MLc,0.25,141,16,0.0229,0.0293,
eslv2026jkjznglu,ohdd2026zawd7lwx,hypodd,ohyp2026bi5thbk7,2024-01-14T05:26:06.700000Z,14.06565,-89.718229,13.264,1.3631,MLc,0.196,270,12,0.4267,0.5235,
eslv20264kainlc6,ohdd2026ebutswrs,hypodd,ohyp2026eqlluc5f,2024-01-14T21:56:46.920000Z,13.864174,-89.772477,12.143,1.4237,MLc,0.045,276,8,0.0759,0.0771,
eslv2026prgpwksj,ohdd2026tyxtmfcy,hypodd,ohyp2026cr7bhqvk,2024-01-16T02:55:37.520000Z,13.883747,-89.733203,7.414,2.1963,MLc,0.335,100,17,0.0418,0.0341,
eslv2026tbhbolwi,ohdd2026lxospeuo,hypodd,ohyp2026gsf6mmk4,2024-01-16T02:57:24.219999Z,13.825568,-89.772965,6.657,1.0466,MLc,0.487,256,6,0.0461,0.0494,
